model,benchmark,effort,budget,acc,mean_tokens_used,cost_per_task_usd,full_run_acc,n_samples
bedrock-deepseek-r1-orig,aime,default,64,0.0,64.0,0.000582,0.5333,45
bedrock-deepseek-r1-orig,aime,default,128,0.0,128.0,0.000928,0.5333,45
bedrock-deepseek-r1-orig,aime,default,256,0.0,256.0,0.001619,0.5333,45
bedrock-deepseek-r1-orig,aime,default,512,0.0,512.0,0.003001,0.5333,45
bedrock-deepseek-r1-orig,aime,default,1024,0.0,1024.0,0.005766,0.5333,45
bedrock-deepseek-r1-orig,aime,default,2048,0.0,2048.0,0.011296,0.5333,45
bedrock-deepseek-r1-orig,aime,default,4096,0.0889,4023.0,0.021958,0.5333,45
bedrock-deepseek-r1-orig,aime,default,8192,0.2889,7381.0,0.040091,0.5333,45
bedrock-deepseek-r1-orig,aime,default,16384,0.5333,10786.0,0.05848,0.5333,45
bedrock-deepseek-r1-orig,aime,default,32768,0.5333,10787.0,0.058489,0.5333,45
bedrock-deepseek-r1-orig,aime,default,65536,0.5333,10787.0,0.058489,0.5333,45
bedrock-deepseek-r1-orig,aime,default,131072,0.5333,10787.0,0.058489,0.5333,45
bedrock-deepseek-r1-orig,gpqa,default,64,0.0,64.0,0.00068,0.6673,1584
bedrock-deepseek-r1-orig,gpqa,default,128,0.0,128.0,0.001025,0.6673,1584
bedrock-deepseek-r1-orig,gpqa,default,256,0.0,256.0,0.001717,0.6673,1584
bedrock-deepseek-r1-orig,gpqa,default,512,0.0,512.0,0.003099,0.6673,1584
bedrock-deepseek-r1-orig,gpqa,default,1024,0.0025,1024.0,0.005863,0.6673,1584
bedrock-deepseek-r1-orig,gpqa,default,2048,0.0625,2021.0,0.011246,0.6673,1584
bedrock-deepseek-r1-orig,gpqa,default,4096,0.238,3745.0,0.020559,0.6673,1584
bedrock-deepseek-r1-orig,gpqa,default,8192,0.4255,6287.0,0.034287,0.6673,1584
bedrock-deepseek-r1-orig,gpqa,default,16384,0.6503,7901.0,0.043,0.6673,1584
bedrock-deepseek-r1-orig,gpqa,default,32768,0.6673,7941.0,0.043218,0.6673,1584
bedrock-deepseek-r1-orig,gpqa,default,65536,0.6673,7941.0,0.043218,0.6673,1584
bedrock-deepseek-r1-orig,gpqa,default,131072,0.6673,7941.0,0.043218,0.6673,1584
bedrock-deepseek-v3,aime,default,64,0.0,64.0,0.00021,0.5778,45
bedrock-deepseek-v3,aime,default,128,0.0,128.0,0.000317,0.5778,45
bedrock-deepseek-v3,aime,default,256,0.0,256.0,0.000532,0.5778,45
bedrock-deepseek-v3,aime,default,512,0.0,512.0,0.000962,0.5778,45
bedrock-deepseek-v3,aime,default,1024,0.0889,1012.0,0.001803,0.5778,45
bedrock-deepseek-v3,aime,default,2048,0.2889,1810.0,0.003144,0.5778,45
bedrock-deepseek-v3,aime,default,4096,0.5111,2702.0,0.004641,0.5778,45
bedrock-deepseek-v3,aime,default,8192,0.5778,2823.0,0.004845,0.5778,45
bedrock-deepseek-v3,aime,default,16384,0.5778,2823.0,0.004845,0.5778,45
bedrock-deepseek-v3,aime,default,32768,0.5778,2823.0,0.004845,0.5778,45
bedrock-deepseek-v3,aime,default,65536,0.5778,2823.0,0.004845,0.5778,45
bedrock-deepseek-v3,aime,default,131072,0.5778,2823.0,0.004845,0.5778,45
bedrock-deepseek-v3,chess,default,64,0.0,64.0,0.000187,0.07,100
bedrock-deepseek-v3,chess,default,128,0.0,128.0,0.000295,0.07,100
bedrock-deepseek-v3,chess,default,256,0.0,256.0,0.00051,0.07,100
bedrock-deepseek-v3,chess,default,512,0.0,512.0,0.00094,0.07,100
bedrock-deepseek-v3,chess,default,1024,0.0,1019.0,0.001792,0.07,100
bedrock-deepseek-v3,chess,default,2048,0.03,1795.0,0.003096,0.07,100
bedrock-deepseek-v3,chess,default,4096,0.07,2080.0,0.003573,0.07,100
bedrock-deepseek-v3,chess,default,8192,0.07,2080.0,0.003573,0.07,100
bedrock-deepseek-v3,chess,default,16384,0.07,2080.0,0.003573,0.07,100
bedrock-deepseek-v3,chess,default,32768,0.07,2080.0,0.003573,0.07,100
bedrock-deepseek-v3,chess,default,65536,0.07,2080.0,0.003573,0.07,100
bedrock-deepseek-v3,chess,default,131072,0.07,2080.0,0.003573,0.07,100
bedrock-deepseek-v3,gpqa,default,64,0.0,64.0,0.000251,0.7677,198
bedrock-deepseek-v3,gpqa,default,128,0.0,128.0,0.000358,0.7677,198
bedrock-deepseek-v3,gpqa,default,256,0.0,256.0,0.000573,0.7677,198
bedrock-deepseek-v3,gpqa,default,512,0.0657,505.0,0.000992,0.7677,198
bedrock-deepseek-v3,gpqa,default,1024,0.3687,880.0,0.001621,0.7677,198
bedrock-deepseek-v3,gpqa,default,2048,0.6414,1232.0,0.002213,0.7677,198
bedrock-deepseek-v3,gpqa,default,4096,0.7626,1408.0,0.002508,0.7677,198
bedrock-deepseek-v3,gpqa,default,8192,0.7677,1414.0,0.002519,0.7677,198
bedrock-deepseek-v3,gpqa,default,16384,0.7677,1414.0,0.002519,0.7677,198
bedrock-deepseek-v3,gpqa,default,32768,0.7677,1414.0,0.002519,0.7677,198
bedrock-deepseek-v3,gpqa,default,65536,0.7677,1414.0,0.002519,0.7677,198
bedrock-deepseek-v3,gpqa,default,131072,0.7677,1414.0,0.002519,0.7677,198
bedrock-gemma-3-27b,aime,default,64,0.0,64.0,7.7e-05,0.2444,45
bedrock-gemma-3-27b,aime,default,128,0.0,128.0,9.6e-05,0.2444,45
bedrock-gemma-3-27b,aime,default,256,0.0,256.0,0.000134,0.2444,45
bedrock-gemma-3-27b,aime,default,512,0.0,512.0,0.000211,0.2444,45
bedrock-gemma-3-27b,aime,default,1024,0.1111,999.0,0.000357,0.2444,45
bedrock-gemma-3-27b,aime,default,2048,0.2,1623.0,0.000544,0.2444,45
bedrock-gemma-3-27b,aime,default,4096,0.2444,1706.0,0.000569,0.2444,45
bedrock-gemma-3-27b,aime,default,8192,0.2444,1706.0,0.000569,0.2444,45
bedrock-gemma-3-27b,aime,default,16384,0.2444,1706.0,0.000569,0.2444,45
bedrock-gemma-3-27b,aime,default,32768,0.2444,1706.0,0.000569,0.2444,45
bedrock-gemma-3-27b,aime,default,65536,0.2444,1706.0,0.000569,0.2444,45
bedrock-gemma-3-27b,aime,default,131072,0.2444,1706.0,0.000569,0.2444,45
bedrock-gemma-3-27b,chess,default,64,0.0,64.0,6.3e-05,0.0,100
bedrock-gemma-3-27b,chess,default,128,0.0,128.0,8.2e-05,0.0,100
bedrock-gemma-3-27b,chess,default,256,0.0,256.0,0.00012,0.0,100
bedrock-gemma-3-27b,chess,default,512,0.0,508.0,0.000196,0.0,100
bedrock-gemma-3-27b,chess,default,1024,0.0,632.0,0.000233,0.0,100
bedrock-gemma-3-27b,chess,default,2048,0.0,632.0,0.000233,0.0,100
bedrock-gemma-3-27b,chess,default,4096,0.0,632.0,0.000233,0.0,100
bedrock-gemma-3-27b,chess,default,8192,0.0,632.0,0.000233,0.0,100
bedrock-gemma-3-27b,chess,default,16384,0.0,632.0,0.000233,0.0,100
bedrock-gemma-3-27b,chess,default,32768,0.0,632.0,0.000233,0.0,100
bedrock-gemma-3-27b,chess,default,65536,0.0,632.0,0.000233,0.0,100
bedrock-gemma-3-27b,chess,default,131072,0.0,632.0,0.000233,0.0,100
bedrock-gemma-3-27b,gpqa,default,64,0.0,64.0,9.5e-05,0.46,100
bedrock-gemma-3-27b,gpqa,default,128,0.0,128.0,0.000114,0.46,100
bedrock-gemma-3-27b,gpqa,default,256,0.0,256.0,0.000152,0.46,100
bedrock-gemma-3-27b,gpqa,default,512,0.15,475.0,0.000218,0.46,100
bedrock-gemma-3-27b,gpqa,default,1024,0.4,633.0,0.000265,0.46,100
bedrock-gemma-3-27b,gpqa,default,2048,0.45,693.0,0.000284,0.46,100
bedrock-gemma-3-27b,gpqa,default,4096,0.46,701.0,0.000286,0.46,100
bedrock-gemma-3-27b,gpqa,default,8192,0.46,701.0,0.000286,0.46,100
bedrock-gemma-3-27b,gpqa,default,16384,0.46,701.0,0.000286,0.46,100
bedrock-gemma-3-27b,gpqa,default,32768,0.46,701.0,0.000286,0.46,100
bedrock-gemma-3-27b,gpqa,default,65536,0.46,701.0,0.000286,0.46,100
bedrock-gemma-3-27b,gpqa,default,131072,0.46,701.0,0.000286,0.46,100
bedrock-llama3-70b,aime,default,64,0.0,64.0,0.000717,0.0431,720
bedrock-llama3-70b,aime,default,128,0.0,128.0,0.000941,0.0431,720
bedrock-llama3-70b,aime,default,256,0.0,256.0,0.001388,0.0431,720
bedrock-llama3-70b,aime,default,512,0.0292,483.0,0.002182,0.0431,720
bedrock-llama3-70b,aime,default,1024,0.0431,661.0,0.002805,0.0431,720
bedrock-llama3-70b,aime,default,2048,0.0431,690.0,0.00291,0.0431,720
bedrock-llama3-70b,aime,default,4096,0.0431,690.0,0.00291,0.0431,720
bedrock-llama3-70b,aime,default,8192,0.0431,690.0,0.00291,0.0431,720
bedrock-llama3-70b,aime,default,16384,0.0431,690.0,0.00291,0.0431,720
bedrock-llama3-70b,aime,default,32768,0.0431,690.0,0.00291,0.0431,720
bedrock-llama3-70b,aime,default,65536,0.0431,690.0,0.00291,0.0431,720
bedrock-llama3-70b,aime,default,131072,0.0431,690.0,0.00291,0.0431,720
bedrock-llama3-70b,gpqa,default,64,0.0041,64.0,0.000934,0.4056,3168
bedrock-llama3-70b,gpqa,default,128,0.0199,126.0,0.001154,0.4056,3168
bedrock-llama3-70b,gpqa,default,256,0.1746,230.0,0.001518,0.4056,3168
bedrock-llama3-70b,gpqa,default,512,0.3845,303.0,0.001771,0.4056,3168
bedrock-llama3-70b,gpqa,default,1024,0.405,313.0,0.001806,0.4056,3168
bedrock-llama3-70b,gpqa,default,2048,0.4056,313.0,0.001807,0.4056,3168
