benchmark_name,is_anchor,benchmark_release_date,edi,estimated_slope_scaled
TriviaQA,False,2017-05-09,56.20259880226155,0.02061746013882184
LAMBADA,False,2016-06-20,57.91752228119074,0.021101740475934924
PIQA,False,2019-11-26,85.42286575611985,0.021806047843727888
HellaSwag,False,2019-05-19,86.14178625719332,0.040818633002797255
OpenBookQA,False,2018-09-08,105.469370129178,0.08825740377826041
GSM8K,False,2021-10-27,105.5151704214892,0.10427467484395016
ARC AI2,False,2018-03-14,106.08389048973474,0.09811519465123798
Lech Mazur Writing,False,2025-01-31,107.3803633003565,0.03805087111229004
Winogrande,True,2019-07-24,110.19338124730358,0.05112557528355009
MMLU,False,2020-09-07,110.40727200715413,0.07514989519374181
ScienceQA,False,2022-09-20,110.90281546463068,0.09483013598675023
BBH,False,2022-10-17,113.37998105059071,0.09916278509781873
GeoBench,False,2025-03-01,119.61906547360238,0.03601559977526502
ANLI,False,2019-10-31,127.18978265163375,0.07786371609857044
MATH level 5,False,2021-03-05,128.05032164647156,0.179179868508535
Fiction.LiveBench,False,2025-02-21,135.50250968726164,0.12644198799447848
GPQA diamond,False,2023-11-20,135.92274256926746,0.11952985266753123
METR Time Horizons,False,,135.9680012155854,0.059157478051188005
SWE-Bench verified,False,2024-08-13,136.44925478807667,0.07161014984698354
OTIS Mock AIME 2024-2025,False,2024-12-19,138.28279551522954,0.22264437474546292
Aider polyglot,False,2024-12-21,138.71873910232006,0.167628544189926
CadEval,False,2025-04-22,140.20442258794682,0.09674166645073355
ARC-AGI,False,2019-11-05,145.4532064970176,0.24446757416471843
WeirdML,False,2025-01-16,145.79315994976892,0.08161381828553539
Cybench,False,2024-08-15,146.02749245895126,0.2165649385116639
OSWorld,False,2024-04-11,146.20855328610304,0.13890354457720666
The Agent Company,False,2024-12-18,147.01994268117886,0.14555032677344018
Terminal Bench,False,2025-05-19,148.77736622488214,0.17298653630362912
Surface Evolver Bench,False,,149.2117903784851,0.14499623680086315
FrontierMath-2025-02-28-Private,False,2025-02-28,149.79134370913349,0.25889289029712925
FrontierMath-Tiers-1-3-v2-Private,False,,150.61867100630747,0.16899788174258962
VPCT,False,2025-01-30,150.72311197577426,0.3229323876767565
SimpleBench,False,2024-10-31,151.3899136824721,0.09743810107651435
ARC-AGI-2,False,,153.34662827560365,0.3066714881041055
Balrog,False,2024-11-20,153.58648896471692,0.05048860012713623
SimpleQA Verified,False,,154.66009360678493,0.0796696530098807
DeepSWE,False,,155.05779411531708,0.17788026988954428
ProofBench,False,,155.58310424680926,0.3151330840487613
DeepResearch Bench,False,2025-06-13,155.77972268953943,0.0282766861679835
GDPval,False,,155.99682085762853,0.07824049085619966
FrontierMath-Tier-4-2025-07-01-Private,False,,156.59946955893372,0.28555692861991155
FrontierMath-Tier-4-v2-Private,False,,157.1939768549814,0.28136799506811344
GSO-Bench,False,2025-05-29,159.37549473629076,0.18432714516103618
HLE,False,,159.55963015762808,0.14042142609919092
FrontierCode,False,,160.25826510797947,0.12396518625738508
Chess Puzzles,False,,160.99449773564157,0.11973348173314846
APEX-Agents,False,,161.53631486595583,0.11889761819370288
ExploitBench,False,,161.84277452612412,0.12587964218219724
Mystery Game Puzzles,False,,162.0369421346537,0.16805543719980423
MirrorCode,False,,163.19180393083468,0.25389491979574
EBR-bench,False,,163.2785270297418,0.18683640216447814
CritPt,False,,166.03154628258994,0.15699814774194745
PostTrainBench,False,,166.86500298831578,0.0989881949065484
OSWorld 2.0,False,,170.2658136470943,0.12935236252892948
Remote Labor Index,False,,173.90538794569147,0.15691392935460813
CL-bench Life,False,,175.2670487317482,0.07457185869672005
CL-bench,False,,180.795695935901,0.04713120779966798
