"bench","benchmark","level","model_label","acc","date","cost","label_drawn","trace_label"
"aime","AIME (OTIS Mock)",0.25,"o1-mini (medium)",0.294394394394394,2024-09-12,0.015504,TRUE,"25% on AIME (OTIS Mock)"
"aime","AIME (OTIS Mock)",0.25,"QwQ-32B",0.486086086086086,2024-11-28,0.007491,TRUE,""
"aime","AIME (OTIS Mock)",0.25,"DeepSeek-R1-Distill-Qwen-14B",0.277677677677678,2025-01-20,0.001103,TRUE,""
"aime","AIME (OTIS Mock)",0.25,"Gemini 2.0 Flash",0.275975975975976,2025-02-05,0.000605,TRUE,""
"aime","AIME (OTIS Mock)",0.25,"gpt-oss-20b (low)",0.283083083083083,2025-08-05,0.000232,TRUE,""
"aime","AIME (OTIS Mock)",0.75,"o3-mini (high)",0.752552552552553,2025-01-31,0.056971,TRUE,"75% on AIME (OTIS Mock)"
"aime","AIME (OTIS Mock)",0.75,"Grok-3 mini (high)",0.777577577577578,2025-04-09,0.010168,TRUE,""
"aime","AIME (OTIS Mock)",0.75,"gpt-oss-120b (high)",0.788888888888889,2025-08-05,0.00316,TRUE,""
"aime","AIME (OTIS Mock)",0.75,"Gemma 4 26B A4B (minimal)",0.822122122122122,2026-04-02,0.00194,TRUE,""
"aime","AIME (OTIS Mock)",0.75,"Qwen3.7 Flash",0.777577577577578,2026-07-27,0.000694,TRUE,""
"chess","Chess Puzzles",0.25,"o3 (low)",0.27,2025-01-31,0.070869,TRUE,"25% on Chess Puzzles"
"chess","Chess Puzzles",0.25,"GPT-5 nano (high)",0.27,2025-08-07,0.01369,TRUE,""
"chess","Chess Puzzles",0.25,"Gemini 3.1 Flash-Lite (low)",0.25,2026-03-03,0.000726,TRUE,""
"fm13","FrontierMath, tiers 1-3",0.25,"o3 (medium)",0.2632,2025-01-31,0.553446,TRUE,"25% on FrontierMath, tiers 1-3"
"fm13","FrontierMath, tiers 1-3",0.25,"o4-mini (medium)",0.2596,2025-04-16,0.129372,TRUE,""
"fm13","FrontierMath, tiers 1-3",0.25,"GPT-5 mini (high)",0.3053,2025-08-07,0.098754,TRUE,""
"fm13","FrontierMath, tiers 1-3",0.25,"Qwen3.5 397B-A17B",0.2561,2026-02-13,0.092397,TRUE,""
"fm13","FrontierMath, tiers 1-3",0.25,"Grok 4.20",0.2842,2026-02-17,0.07904,TRUE,""
"fm13","FrontierMath, tiers 1-3",0.25,"GPT-5.4 Nano (high)",0.2842,2026-03-17,0.074218,TRUE,""
"fm13","FrontierMath, tiers 1-3",0.25,"GPT-5.5 Instant",0.2526,2026-05-05,0.066726,TRUE,""
"fm13","FrontierMath, tiers 1-3",0.25,"Qwen3.7-Plus",0.2807,2026-06-02,0.046288,TRUE,""
"fm13","FrontierMath, tiers 1-3",0.25,"GPT-5.6 Luna",0.2526,2026-07-09,0.001468,TRUE,""
"fm13","FrontierMath, tiers 1-3",0.75,"GPT-5.4 (xhigh)",0.786,2026-03-05,2.152405,TRUE,"75% on FrontierMath, tiers 1-3"
"fm13","FrontierMath, tiers 1-3",0.75,"GPT-5.6 Luna (max)",0.8211,2026-07-09,0.218951,TRUE,""
"gpqa","GPQA Diamond",0.25,"GPT-4 Turbo (Nov 2023)",0.2856,2023-11-06,0.019652,TRUE,"25% on GPQA Diamond"
"gpqa","GPQA Diamond",0.25,"Gemini 1.5 Pro",0.256,2024-02-15,0.00194,TRUE,""
"gpqa","GPQA Diamond",0.25,"WizardLM-2 8x22B",0.256133333333333,2024-04-15,0.000623,TRUE,""
"gpqa","GPQA Diamond",0.25,"Llama 3.1-70B",0.250133333333333,2024-07-23,0.000209,TRUE,""
"gpqa","GPQA Diamond",0.25,"Gemini 1.5 Flash",0.296666666666667,2024-09-24,0.000145,TRUE,""
"gpqa","GPQA Diamond",0.25,"Phi-4",0.3828,2024-12-12,0.000108,TRUE,""
"gpqa","GPQA Diamond",0.25,"Mistral Small 3",0.257466666666667,2025-01-25,8.9e-05,TRUE,""
"gpqa","GPQA Diamond",0.25,"gpt-oss-20b (low)",0.330533333333333,2025-08-05,8.5e-05,TRUE,""
"gpqa","GPQA Diamond",0.75,"o3 (high)",0.7576,2025-01-31,0.298906,TRUE,"75% on GPQA Diamond"
"gpqa","GPQA Diamond",0.75,"Gemini 2.5 Pro (Jun 2025)",0.8036,2025-03-25,0.089116,TRUE,""
"gpqa","GPQA Diamond",0.75,"Gemini 2.5 Pro (Jun 2025)",0.777733333333333,2025-06-05,0.012932,TRUE,""
"gpqa","GPQA Diamond",0.75,"DeepSeek-V3.2",0.7772,2025-12-01,0.008821,TRUE,""
"gpqa","GPQA Diamond",0.75,"Qwen3.5 397B-A17B",0.798,2026-02-13,0.007102,TRUE,""
"gpqa","GPQA Diamond",0.75,"Qwen 3.5 Flash (hosted 35B-A3B)",0.7624,2026-02-25,0.0021805,TRUE,""
"gpqa","GPQA Diamond",0.75,"MiniMax-M3",0.7508,2026-06-01,0.001213,TRUE,""
"gpqa","GPQA Diamond",0.75,"GPT-5.6 Luna (low)",0.752533333333333,2026-07-09,0.000412,TRUE,""
