Technology,Date range,Unit,Compounded average/quarter,Fastest 3-year decline,,Log points/quarter,,,,,,,,,,,,,,,
Electricity,1892–1973,$/watt-hour,1.2%,,,1.2%,54,1.05x/year,,,,,,,,,,,,,
Lithium batteries,1991–2024,$/watt-hour,3.6%,7.6%,,3.6%,18,1.16x/year,,,,,,,,,,,,,
Illumination,1800–2023,£/lumen-hour,0.9%,0.0%,,0.9%,68,1.04x/year,,,,,,,,,,,,,
Compute,1940–2001,$/calculation,9.9%,,,10.4%,6,1.51x/year,,,,,,,,,,,,,
DNA sequencing,2001–22,$/human genome,14.2%,37.9%,,15.3%,4,1.84x/year,,,,,,,,,,,,,
LLM inference,2023–26,"$, given benchmark score",47.0%,47.0%,,63.5%,1,12.67x/year,,,,,,,,,,,,,
"Price drops expressed as compounded quarterly rates, after inflation adjustment.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Year,t,LLM inference,,,,,,,,,,,,,,,,,,,
2021.88,0.00,100,,,,,,,,,,,,,,,,,,,
2023.50,1.62,1.649,,,,,,,,,,,,,,,,,,,
2026.67,4.78,0.001,,,,,,,,,,,,,,,,,,,
