"benchmark","data_start","alpha_sq","staircase_pct_qtr","grid_ols_pct_qtr","bc_surface_pct_qtr","grid_ols_env_pct_qtr","ols_runs_pct_qtr","sfa_cost_pct_qtr","pareto_logit_pct_qtr","pareto_logit_env_pct_qtr"
"AIME (OTIS Mock)","2023-03",0.0495705176057981,47.1386204401396,43.2672442586376,49.9099135534826,28.6173740615885,-1.1595985034855,-9.59115288131951,68.4037935159898,75.8445698923472
"Chess Puzzles","2023-06",0.0143361066479422,42.9623776810411,35.2135788211315,43.5300730798917,27.9417511106474,3.89181188464878,6.70272703061,57.4347891580175,52.0038209592794
"FrontierMath, tiers 1-3","2023-11",0.0285602840334823,53.1084465551562,50.4921299404748,52.1002694784812,56.6104177104312,23.9826609660082,26.7675288052049,71.479065997362,71.0558344155741
"GPQA Diamond","2023-03",0.0142873856787217,46.972197913607,35.8296127481694,49.0744932832826,4.35031852556148,-8.35937789469214,-10.2382598908526,61.0150244074167,79.8538905937412
"Mystery Game Puzzles","2023-06",0.0282426299724173,44.0111955985494,39.0142349553191,38.8009185573735,4.28944907886546,4.96063714132662,-8.94819626390169,55.3496737255385,48.4935280231466
"Pooled runs, primary (ECI units, benchmark FE)","2023-03",NA,NA,37.4769168830297,41.4547491864559,6.30888562592249,-1.06611238858076,-8.20911532284516,65.6635450577924,71.9898021995594
"FrontierMath 2025-02","2024-05",0.0670255286464014,43.3014764500327,42.4748025983873,43.5910652188027,8.6896246058536,-7.99979609977415,-54.4067872287027,57.1748523918187,60.5178322984344
"FrontierMath, tier 4 (2025-07)","2024-06",0.0815427594828373,26.0481531478686,27.7533154908019,27.2575058687281,7.01660951563099e-12,-33.3333495702282,-231.386546422265,64.8469756997163,50.3038886405456
"FrontierMath, tier 4 v2","2025-01",0.0791679486486499,65.1113704045454,54.4398782388902,76.6655437114813,54.3837836540581,30.2749509737988,26.6090734737231,78.6903879735636,84.2502774087272
"MATH, level 5","2023-06",0.0321054252787359,51.8334884744443,49.2292198162985,56.9535756830648,15.0481199864808,-12.0175791254676,-22.0695072288481,70.321729486258,81.776053530404
"SimpleQA Verified","2024-10",0.00634725361071479,40.5055801627592,39.841921913935,43.8253564962555,14.1874454099221,-5.29139235551728,-30.2454318695489,60.6082711998233,98.9690708294634
"SWE-Bench Verified","2024-05",0.00512801356110744,27.4855114423133,25.144035512321,28.3522218924356,2.71439237886381,1.51687653959474,-3.10765130238913,35.92223293964,40.2579036081245
"Pooled, primary (ECI-weighted)","",0.426308344213377,47.2315337602154,42.2478241765566,47.4643543850699,28.3763264105842,5.00976019582976,-0.0199736752126478,65.0518335700251,70.8218132680807
