"benchmark","decline_pct_qtr","share_records_moved","n_nodes"
"AIME (OTIS Mock)",47.1386204401396,0.477037749459005,4159
"Chess Puzzles",42.9623776810411,0.411415374463873,3031
"FrontierMath, tiers 1-3",53.1084465551562,0.621788772597526,2102
"GPQA Diamond",46.972197913607,0.463980948600913,5039
"Mystery Game Puzzles",44.0111955985494,0.246162592382035,3518
"FrontierMath 2025-02",43.3014764500327,0.377041306436119,2082
"FrontierMath, tier 4 (2025-07)",26.0481531478686,0.465454545454545,825
"FrontierMath, tier 4 v2",65.1113704045454,0.750769230769231,650
"MATH, level 5",51.8334884744443,0.496987087517934,3485
"SimpleQA Verified",40.5055801627592,0.35377358490566,2756
"SWE-Bench Verified",27.4855114423133,0.345645645645646,3330
